48
1	2	D	매수	7734	61
1	4	C	매수	6305	76
1	5	E	매수	14201	95
1	6	C	매수	6298	7
1	7	E	매도	13876	52
1	8	D	매수	7819	56
1	9	C	매수	6267	36
1	10	C	매수	6422	69
1	11	D	매수	8168	72
1	12	E	매수	13918	27
1	13	F	매수	9053	30
1	14	D	매도	8381	3
1	15	D	매도	8607	15
1	16	B	매수	8443	71
1	17	A	매수	16049	71
1	18	E	매도	14440	28
1	18	D	매도	8356	14
1	18	F	매도	9459	5
1	22	A	매수	16501	23
1	22	E	매수	14994	23
1	22	F	매수	9115	66
1	22	E	매수	15130	43
1	24	E	매수	14675	55
1	24	B	매도	8635	50
1	27	E	매수	14344	22
1	28	E	매도	14228	11
1	28	C	매도	6658	98
1	30	D	매수	8547	37
2	1	E	매도	14781	48
2	1	D	매도	8758	51
2	1	A	매도	16024	55
2	3	F	매수	8793	12
2	3	B	매수	8403	94
2	5	F	매도	8499	9
2	6	E	매수	14310	2
2	6	B	매수	8766	41
2	9	E	매도	14115	3
2	9	C	매수	6818	38
2	10	A	매수	16107	93
2	11	B	매도	8849	83
2	11	F	매수	8496	85
2	11	D	매도	9187	54
2	14	E	매수	14269	53
2	14	F	매수	8798	26
2	14	B	매수	8563	90
2	14	B	매수	8581	1
2	18	C	매수	6552	88
2	18	F	매도	8661	22
